month_number;day_number;month_name;synaxaire;synaxaire_category;is_martyre
1;1;Tout;Fête du Nayrouz (Début de la Sainte Année Copte);Fête;0
1;1;Tout;Martyre de Saint Barthélemy l'Apôtre;Martyre;1
1;1;Tout;Départ de Saint Milius;Départ;0
1;2;Tout;Martyre de Saint Jean le Baptiste;Martyre;1
1;2;Tout;Martyre de Saint Daysa le Soldat;Martyre;1
1;3;Tout;Le Saint Concile d'Alexandrie;Le;0
1;3;Tout;Le grand tremblement de terre;Le;0
1;4;Tout;Commémoration de Josué fils de Noun et Décès de sainte Véréna;Commemoration;0
1;4;Tout;Départ du Pape Saint Macaire II ;Départ;0
1;5;Tout;Martyre de Sainte Sophie;Martyre;1
1;6;Tout;Martyre de Sainte Basilissa;Martyre;1
1;6;Tout;Départ d'Isaïe le Prophète;Départ;0
1;7;Tout;Martyre des Saints Agathe, Pierre, Jean, Amoun, Amouna et leur mère Rebecca;Martyre;1
1;7;Tout;Départ de Saint Dioscore;Départ;0
1;7;Tout;Décès de Saint Sévère de Gabala;Décès;0
1;8;Tout;Décès de Moïse le Prophète;Décès;0
1;8;Tout;Martyre de Zacharie le Prophète;Martyre;1
1;8;Tout;Martyre de Saint Diomède;Martyre;1
1;9;Tout;Martyre de Saint Pissora l'Evêque;Martyre;1
1;10;Tout;Martyre de Sainte Matrone;Martyre;1
1;10;Tout;Commémoration de Saint Basin et ses enfants;Commémoration;0
1;11;Tout;Martyre de saint Basilides;Martyre;1
1;12;Tout;Réunion du troisième concile œcuménique à Ephèse pour juger Nestorius, le patriarche de Constantinople;Réunion;0
1;12;Tout;Transfert des reliques de saint Clémus et de ses compagnons;Transfert;0
1;13;Tout;Décès du Pape Mathias II, 90ème Patriarche d’Alexandrie;Décès;0
1;13;Tout;Commémoration du miracle accomplie par Saint Basile, Evêque de Césarée en Cappadoce;Commémoration;0
1;14;Tout;Décès de Saint Agathon le Stylite;Décès;0
1;15;Tout;Déportation de la dépouille de Saint Stéphane (Etienne) l’archidiacre;Déportation;0
1;16;Tout;Commémoration de la consécration du Sanctuaire de l’église de la Résurrection à Jérusalem;Commémoration;0
1;16;Tout;Transfert des reliques de St Jean Chrysostome;Transfert;0
1;17;Tout;Célébration de la consécration de l’église de l’honorable croix;Célébration;0
