Date;Heure;Evènement;Synaxaire;
"Dimanche 01-09
26 Misra 1740";08h30 – 13h30;"08h30 – 11h30 Liturgie Divine
12h30 – 13h30 Chorale, École de dimanche/Réunion de familles";Martyre de saint Moïse et sa sœur Sara;
"Lundi 02-09
27 Misra 1740";0;0;Martyre de saint Benjamin et de sa sœur sainte Eudoxie;
"Mardi 03-09
28 Misra 1740";0;0;Commémoration des patriarches Abraham, Isaac et Jacob;
"Mercredi 04-09
29 Misra 1740";11h – 13h;"Commémoration de l’Annonciation, la Nativité et la Résurrection
تذكار البشارة و الميالد والقيامة
Liturgie divine 
";Martyre de saint Athanase, l’évêque ainsi que ses deux disciples Gerassimôs et Theodotus;
"Jeudi 05-09
30 Misra 1740";0;0;Décès du prophète Malachie;
"Vendredi 06-09
1 Nisa 1740";19h30 – 21h30 ;Réunion des jeunes et servants ;Martyre de saint Pishaï d'Antioche, le frère de saint abba Hour;
"Samedi 07-09
2 Nisa 1740";18h – 20h ;Vêpres, Louanges, Glorifications et étude Biblique;Décès de Saint Tite, le disciple;
"Dimanche 08-09
3 Nisa 1740";08h30 – 13h30;"08h30 – 11h30 Liturgie Divine
12h30 – 13h30 Chorale, École de dimanche/Réunion de familles";Commémoration de l’archange Raphaël;
"Lundi 09-09
4 Nisa 1740";0;0;Décès d’Abba Pœmen, l’ermite;
"Mardi 10-09
5 Nisa 1740";0;0;Décès du prophète Amos;
"Mercredi 11-09
1 Tout 1741";11h – 13h;"Liturgie divine 
";Fête du Nayrouz (Début de la Sainte Année Copte);
"Jeudi 12-09
2 Tout 1741";0;0;Martyre de Saint Jean le Baptiste;
"Vendredi 13-09
3 Tout 1741";19h30 – 21h30 ;Réunion des jeunes et servants ;Le Saint Concile d'Alexandrie;
"Samedi 14-09
4 Tout 1741";18h – 20h ;Vêpres, Louanges, Glorifications et étude Biblique;Commémoration de Josué fils de Noun et Décès de sainte Véréna;
"Dimanche 15-09
5 Tout 1741";08h30 – 13h30;"08h30 – 11h30 Liturgie Divine
12h30 – 13h30 Chorale, École de dimanche/Réunion de familles";Martyre de Sainte Sophie;
"Lundi 16-09
6 Tout 1741";0;0;Martyre de Sainte Basilissa;
"Mardi 17-09
7 Tout 1741";0;0;Martyre des Saints Agathe, Pierre, Jean, Amoun, Amouna et leur mère Rebecca;
"Mercredi 18-09
8 Tout 1741";11h – 13h;"Liturgie divine 
";Décès de Moïse le Prophète;
"Jeudi 19-09
9 Tout 1741";0;0;Martyre de Saint Pissora l'Evêque;
"Vendredi 20-09
10 Tout 1741";19h30 – 21h30 ;Réunion des jeunes et servants ;Martyre de Sainte Matrone;
"Samedi 21-09
11 Tout 1741";18h – 20h ;Vêpres, Louanges, Glorifications et étude Biblique;Martyre de saint Basilides;
"Dimanche 22-09
12 Tout 1741";08h30 – 13h30;"Fête de l’Archange Michael - ميخائيل الجليل المالئكة رئيس عيد
08h30 – 11h30 Liturgie Divine
12h30 – 13h30 Chorale, École de dimanche/Réunion de familles";Réunion du troisième concile œcuménique à Ephèse pour juger Nestorius, le patriarche de Constantinople;
"Lundi 23-09
13 Tout 1741";0;0;Décès du Pape Mathias II, 90ème Patriarche d’Alexandrie;
"Mardi 24-09
14 Tout 1741";0;0;Décès de Saint Agathon le Stylite;
"Mercredi 25-09
15 Tout 1741";11h – 13h;"Liturgie divine 
";Déportation de la dépouille de Saint Stéphane (Etienne) l’archidiacre;
"Jeudi 26-09
16 Tout 1741";0;0;Commémoration de la consécration du Sanctuaire de l’église de la Résurrection à Jérusalem;
"Vendredi 27-09
17 Tout 1741";19h30 – 21h30 ;Réunion des jeunes et servants ;Célébration de la consécration de l’église de l’honorable croix;
"Samedi 28-09
18 Tout 1741";18h – 20h ;Vêpres, Louanges, Glorifications et étude Biblique;Martyre de Saint Porphyrius;
"Dimanche 29-09
19 Tout 1741";08h30 – 13h30;"08h30 – 11h30 Liturgie Divine
12h30 – 13h30 Chorale, École de dimanche/Réunion de familles";Départ de Saint Gégoire l'Arménien;
"Lundi 30-09
20 Tout 1741";0;0;Martyre de Sainte Melitina la vierge;
