copt_code_date,coptic_date,synaxaire,month_name,month_number,day_number,synaxaire_category,is_martyre
11,1 Tout,Fête du Nayrouz (Début de la Sainte Année Copte),Tout,1,1,Fête,1
11,1 Tout,Martyre de Saint Barthélemy l'Apôtre,Tout,1,1,Martyre,1
11,1 Tout,Départ de Saint Milius,Tout,1,1,Départ,0
12,2 Tout,Martyre de Saint Jean le Baptiste,Tout,1,2,Martyre,1
12,2 Tout,Martyre de Saint Daysa le Soldat,Tout,1,2,Martyre,1
13,3 Tout,Le Saint Concile d'Alexandrie,Tout,1,3,Le,0
13,3 Tout,Le grand tremblement de terre,Tout,1,3,Le,0
14,4 Tout,Commémoration de Josué fils de Noun et Décès de sainte Véréna,Tout,1,4,Commemoration,0
14,4 Tout,Départ du Pape Saint Macaire II ,Tout,1,4,Départ,0
15,5 Tout,Martyre de Sainte Sophie,Tout,1,5,Martyre,1
16,6 Tout,Martyre de Sainte Basilissa,Tout,1,6,Martyre,1
16,6 Tout,Départ d'Isaïe le Prophète,Tout,1,6,Départ,0
17,7 Tout,"Martyre des Saints Agathe, Pierre, Jean, Amoun, Amouna et leur mère Rebecca",Tout,1,7,Martyre,1
17,7 Tout,Départ de Saint Dioscore,Tout,1,7,Départ,0
17,7 Tout,Décès de Saint Sévère de Gabala,Tout,1,7,Décès,0
18,8 Tout,Décès de Moïse le Prophète,Tout,1,8,Décès,0
18,8 Tout,Martyre de Zacharie le Prophète,Tout,1,8,Martyre,1
18,8 Tout,Martyre de Saint Diomède,Tout,1,8,Martyre,1
19,9 Tout,Martyre de Saint Pissora l'Evêque,Tout,1,9,Martyre,1
110,10 Tout,Martyre de Sainte Matrone,Tout,1,10,Martyre,1
110,10 Tout,Commémoration de Saint Basin et ses enfants,Tout,1,10,Commémoration,0
111,11 Tout,Martyre de saint Basilides,Tout,1,11,Martyre,1
112,12 Tout,"Réunion du troisième concile œcuménique à Ephèse pour juger Nestorius, le patriarche de Constantinople",Tout,1,12,Réunion,0
112,12 Tout,Transfert des reliques de saint Clémus et de ses compagnons,Tout,1,12,Transfert,0
113,13 Tout,"Décès du Pape Mathias II, 90ème Patriarche d’Alexandrie",Tout,1,13,Décès,0
113,13 Tout,"Commémoration du miracle accomplie par Saint Basile, Evêque de Césarée en Cappadoce",Tout,1,13,Commémoration,0
114,14 Tout,Décès de Saint Agathon le Stylite,Tout,1,14,Décès,0
115,15 Tout,Déportation de la dépouille de Saint Stéphane (Etienne) l’archidiacre,Tout,1,15,Déportation,0
116,16 Tout,Commémoration de la consécration du Sanctuaire de l’église de la Résurrection à Jérusalem,Tout,1,16,Commémoration,0
116,16 Tout,Transfert des reliques de St Jean Chrysostome,Tout,1,16,Transfert,0
117,17 Tout,Célébration de la consécration de l’église de l’honorable croix,Tout,1,17,Célébration,0
117,17 Tout,Disparition de Sainte Theognosta,Tout,1,17,Disparition,0
118,18 Tout,Martyre de Saint Porphyrius,Tout,1,18,Martyre,1
118,18 Tout,Décès de Saint Stéphane le prêtre et martyre de Nicée,Tout,1,18,Décès,0
119,19 Tout,Départ de Saint Gégoire l'Arménien,Tout,1,19,Départ,0
120,20 Tout,Martyre de Sainte Melitina la vierge,Tout,1,20,Martyre,1
120,20 Tout,Départ du Pape Athanase II,Tout,1,20,Départ,0
120,20 Tout,Départ de Sainte Theopista,Tout,1,20,Départ,0
121,21 Tout,Martyre de Saint Cyprien et Sainte Justine,Tout,1,21,Martyre,1
121,21 Tout,Commémoration de la Sainte Vierge,Tout,1,21,Commémoration,0
122,22 Tout,"Martyre des saints Cotylas, Axoua et Tatas",Tout,1,22,Martyre,1
122,22 Tout,Martyre de Saint Jules d’Aqfahs,Tout,1,22,Martyre,1
123,23 Tout,Martyre des saints Eunopios et André,Tout,1,23,Martyre,1
123,23 Tout,Martyre de Saint Takla,Tout,1,23,Martyre,1
123,23 Tout,Réouverture de l'église de la Vierge Marie,Tout,1,23,Réouverture,0
124,24 Tout,Départ de Saint Grégoire l'ascète,Tout,1,24,Départ,0
125,25 Tout,Commémoration du prophète Jonas,Tout,1,25,Commémoration,0
126,26 Tout,L’annonce faite par l’ange à Zacharie concernant la naissance de Jean le Baptiste,Tout,1,26,L’annonce,0
127,27 Tout,Martyre de Saint Eustache et de ses deux fils,Tout,1,27,Martyre,1
128,28 Tout,Martyre des saints Abadir et Iraï sa sœur,Tout,1,28,Martyre,1
129,29 Tout,Martyre de Sainte Arbsima la Vierge et de ses sœurs les Vierges,Tout,1,29,Martyre,1
130,30 Tout,Commémoration du miracle opéré par Dieu en faveur de Saint Athanase l'Apostolique,Tout,1,30,Commémoration,0
21,1 Babah,Martyre de Sainte Anastasia,Babah,2,1,Martyre,1
22,2 Babah,"Arrivée de Saint Sévère, patriarche d’Antioche, en Egypte",Babah,2,2,Arrivée,0
23,3 Babah,Martyre de Saint Jean le soldat,Babah,2,3,Martyre,1
23,3 Babah,"Décès de saint Saint Simon II, 51ème Pape siégeant sur le trône de Saint Marc",Babah,2,3,Décès,0
24,4 Babah,Martyre de Saint Bacchus,Babah,2,4,Martyre,1
25,5 Babah,Martyre de Saint Paul de Constantinople,Babah,2,5,Martyre,1
26,6 Babah,"Départ de la pieuse Anne, prophétesse et mère du prophète Samuel",Babah,2,6,Départ,0
27,7 Babah,Départ de Saint Paul de Tamouh,Babah,2,7,Départ,0
28,8 Babah,Martyre de saint Matra,Babah,2,8,Martyre,1
28,8 Babah,Martyre d’abba Hour et de Tossiya et ses enfants ainsi qu’abba Aghathon l’ermite,Babah,2,8,Martyre,1
29,9 Babah,"Décès de saint Euménius, le septième pape de la prédication de saint Marc",Babah,2,9,Décès,0
29,9 Babah,Eclipse du soleil en 978 des martyrs,Babah,2,9,Eclipse,0
29,9 Babah,Commémoration de l'évêque Siméon,Babah,2,9,Commémoration,0
210,10 Babah,"Martyre de saint Serges, le compagnon de saint Bacchus",Babah,2,10,Martyre,1
211,11 Babah,"Décès de saint Jacques, patriarche d’Antioche ",Babah,2,11,Décès,0
211,11 Babah,Décès de sainte Pélagie,Babah,2,11,Décès,0
212,12 Babah,Martyre de saint Matthieu l'évangéliste,Babah,2,12,Martyre,1
212,12 Babah,Décès de saint Dimitri 1er le 12ème pape d'Alexandrie,Babah,2,12,Décès,0
212,12 Babah,Commémoration de l'archange Michel,Babah,2,12,Commémoration,0
213,13 Babah,"Décès de saint Zacharie, le moine",Babah,2,13,Décès,0
214,14 Babah,"Départ de Saint Philippe, l’un des sept diacres",Babah,2,14,Départ,0
215,15 Babah,"Martyre de saint Panteleimon, le médecin",Babah,2,15,Martyre,1
216,16 Babah,"Départ de saint Agathon, le trente neuvième pape d'Alexandrie",Babah,2,16,Départ,0
216,16 Babah,"Commémoration des saints Carpus, Apollos et Pierre",Babah,2,16,Commémoration,0
217,17 Babah,"Départ de saint Dioscore II, le 31ème pape d’Alexandrie",Babah,2,17,Départ,0
218,18 Babah,Départ de saint Théophile le 23ème pape d'Alexandrie,Babah,2,18,Départ,0
219,19 Babah,Martyre à Fayoum de saint Théophile et de sa femme,Babah,2,19,Martyre,1
219,19 Babah,Tenue du concile d’Antioche contre Paul de Samosate,Babah,2,19,Tenue,0
220,20 Babah,Départ de saint Jean Colobos,Babah,2,20,Départ,0
221,21 Babah,Commémoration de la mère de Dieu,Babah,2,21,Commémoration,0
221,21 Babah,Commémoration de la Translation des reliques de Lazare,Babah,2,21,Commémoration,0
221,21 Babah,Décès du prophète Joël,Babah,2,21,Décès,0
221,21 Babah,Décès de saint Freige,Babah,2,21,Décès,0
222,22 Babah,Martyre de Saint Luc l'évangéliste,Babah,2,22,Martyre,1
223,23 Babah,"Martyre de saint Denys, évêque de Corinthe",Babah,2,23,Martyre,1
223,23 Babah,"Décès de saint Joseph, le cinquante deuxième pape d'Alexandrie",Babah,2,23,Décès,0
224,24 Babah,"Martyre de saint Paul, Longin et Zéna",Babah,2,24,Martyre,1
224,24 Babah,Décès de saint Hilarion,Babah,2,24,Décès,0
225,25 Babah,Décès de saint Apollo et saint Abib,Babah,2,25,Décès,0
225,25 Babah,Consécration de l’église de Saint Julius El Akfahsi,Babah,2,25,Consécration,0
226,26 Babah,"Martyre de saint Timon, le disciple",Babah,2,26,Martyre,1
